"County Name","Census Tract","Score-Limited Access to Healthy Food Retailers","IBL Ranking"
"n/a","State Total","86","4"
"Adams","53001950100","90","6"
"Adams","53001950200","99","8"
"Adams","53001950300","56","1"
"Adams","53001950400","75","2"
"Adams","53001950500","83","3"
"Asotin","53003980100","99","8"
"Asotin","53003980200","99","8"
"Asotin","53003980300","79","2"
"Asotin","53003980400","80","2"
"Asotin","53003980500","67","1"
"Asotin","53003980600","80","2"
"Benton","53005010100","95","8"
"Benton","53005010201","99","8"
"Benton","53005010202","91","7"
"Benton","53005010300","85","4"
"Benton","53005010400","75","2"
"Benton","53005010500","89","6"
"Benton","53005010600","90","6"
"Benton","53005010700","88","5"
"Benton","53005010801","93","7"
"Benton","53005010803","92","7"
"Benton","53005010804","93","7"
"Benton","53005010901","93","7"
"Benton","53005010902","71","1"
"Benton","53005011001","92","7"
"Benton","53005011002","88","5"
"Benton","53005011100","88","5"
"Benton","53005011200","86","4"
"Benton","53005011300","87","5"
"Benton","53005011401","80","2"
"Benton","53005011402","86","4"
"Benton","53005011501","99","8"
"Benton","53005011502","73","2"
"Benton","53005011600","33","1"
"Benton","53005011700","91","7"
"Benton","53005011800","75","2"
"Benton","53005011900","50","1"
"Benton","53005012000","99.95","10"
"Chelan","53007960100","67","1"
"Chelan","53007960200","73","2"
"Chelan","53007960300","40","1"
"Chelan","53007960400","67","1"
"Chelan","53007960500","67","1"
"Chelan","53007960600","75","2"
"Chelan","53007960700","71","1"
"Chelan","53007960800","84","4"
"Chelan","53007960900","89","6"
"Chelan","53007961000","95","8"
"Chelan","53007961100","88","5"
"Chelan","53007961200","99","8"
"Clallam","53009980100","0","1"
"Clallam","53009980200","99","8"
"Clallam","53009980300","86","4"
"Clallam","53009980400","99","8"
"Clallam","53009980600","99","8"
"Clallam","53009980700","71","1"
"Clallam","53009980800","50","1"
"Clallam","53009980900","62","1"
"Clallam","53009981000","82","3"
"Clallam","53009981100","50","1"
"Clallam","53009981200","89","6"
